,Macro F-measure,CHI,FEM,KCHI,MAL,SPEECH
,%,,,,,
item,,,,,,
test/paido_g3bt15f222,92.04911401906773,1.0,1.0,0.6316541622007856,1.0,0.9708015387526006
test/paido_g3bt17m311,91.36056920846227,1.0,1.0,0.5929231144806282,1.0,0.9751053459424848
test/paido_g3bt18f211,92.72480247512152,1.0,1.0,0.660425049004437,1.0,0.9758150747516388
test/paido_g4at04m122,91.07066741458291,1.0,1.0,0.5886327503974585,1.0,0.9649006203316871
test/paido_g4at05f212,94.58189352604197,1.0,1.0,0.7728625378651399,1.0,0.9562321384369591
test/paido_g4at09m221,94.20625636834316,1.0,1.0,0.7396881784093149,1.0,0.9706246400078429
test/paido_g4bt11f122,88.5114218742076,1.0,1.0,0.45954642372552806,1.0,0.9660246699848514
test/paido_g4bt15f122,89.50783710912627,1.0,1.0,0.4998361141893898,1.0,0.9755557412669239
test/paido_g4bt16m111,88.06349096652725,1.0,1.0,0.4279128106037494,1.0,0.9752617377226135
test/paido_g4bt18m312,93.25780332607488,1.0,1.0,0.6943175589256342,1.0,0.9685726073781102
test/paido_g4bt21m321,93.35084023672823,1.0,1.0,0.6965826947797202,1.0,0.9709593170566915
test/paido_g4bt21m322,93.34976803240306,1.0,1.0,0.6959697361741152,1.0,0.9715186654460377
test/paido_g4bt23f221,90.17197143183652,1.0,1.0,0.5416116248348739,1.0,0.9669869467569524
test/paido_g4bt23f222,92.19453518261167,1.0,1.0,0.6410261401016031,1.0,0.9687006190289804
test/paido_g4bt24f212,94.73720373200113,1.0,1.0,0.7667170029014027,1.0,0.9701431836986549
